...1,state,year,as_of,accessed,policy,level,category,category_weight,score
1,AL,2006,2006-01-01,2006-01-25,licensed_physician,X,limit_setting,2,1
1,AL,2006,2006-01-01,2006-01-25,hospital_if,Viability,limit_setting,2,0.5
1,AL,2006,2006-01-01,2006-01-25,second_physician_if,Viability,limit_setting,2,0.6666666666666666
1,AL,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,bans,4,0.6666666666666666
1,AL,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,fund_all_most,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,fund_life_rape_incest,X,funding,1,0.5
1,AL,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,indiv_prov_refuse,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,instit_prov_refuse,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,mandate_fetal_pain,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,mandate_neg_psych,0,NA,NA,0
1,AL,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,24,counseling,2,0.6666666666666666
1,AL,2006,2006-01-01,2006-01-25,parental_involv_minors,Consent,external_refusal,1,0.6666666666666666
3,AZ,2006,2006-01-01,2006-01-25,licensed_physician,X,limit_setting,2,1
3,AZ,2006,2006-01-01,2006-01-25,hospital_if,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,second_physician_if,Viability,limit_setting,2,0.6666666666666666
3,AZ,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,bans,4,0.6666666666666666
3,AZ,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,fund_all_most,X,funding,1,-1
3,AZ,2006,2006-01-01,2006-01-25,fund_life_rape_incest,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,indiv_prov_refuse,X,external_refusal,1,1
3,AZ,2006,2006-01-01,2006-01-25,instit_prov_refuse,X,external_refusal,1,1
3,AZ,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,mandate_fetal_pain,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,mandate_neg_psych,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,0,NA,NA,0
3,AZ,2006,2006-01-01,2006-01-25,parental_involv_minors,Consent,external_refusal,1,0.6666666666666666
4,AR,2006,2006-01-01,2006-01-25,licensed_physician,X,limit_setting,2,1
4,AR,2006,2006-01-01,2006-01-25,hospital_if,0,NA,NA,0
4,AR,2006,2006-01-01,2006-01-25,second_physician_if,Viability,limit_setting,2,0.6666666666666666
4,AR,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,bans,4,0.6666666666666666
4,AR,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,NA,NA,0
4,AR,2006,2006-01-01,2006-01-25,fund_all_most,0,NA,NA,0
4,AR,2006,2006-01-01,2006-01-25,fund_life_rape_incest,X,funding,1,0.5
4,AR,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,NA,NA,0
4,AR,2006,2006-01-01,2006-01-25,indiv_prov_refuse,X,external_refusal,1,1
4,AR,2006,2006-01-01,2006-01-25,instit_prov_refuse,X,external_refusal,1,1
4,AR,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,NA,NA,0
4,AR,2006,2006-01-01,2006-01-25,mandate_fetal_pain,X,counseling,2,1
4,AR,2006,2006-01-01,2006-01-25,mandate_neg_psych,X,counseling,2,1
4,AR,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,Day Before,counseling,2,0.3333333333333333
4,AR,2006,2006-01-01,2006-01-25,parental_involv_minors,Consent,external_refusal,1,0.6666666666666666
5,CA,2006,2006-01-01,2006-01-25,licensed_physician,X,limit_setting,2,1
5,CA,2006,2006-01-01,2006-01-25,hospital_if,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,second_physician_if,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,bans,4,0.6666666666666666
5,CA,2006,2006-01-01,2006-01-25,partial_birth_ban,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,fund_all_most,X,funding,1,-1
5,CA,2006,2006-01-01,2006-01-25,fund_life_rape_incest,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,indiv_prov_refuse,X,external_refusal,1,1
5,CA,2006,2006-01-01,2006-01-25,instit_prov_refuse,Religious,external_refusal,1,0.3333333333333333
5,CA,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,mandate_fetal_pain,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,mandate_neg_psych,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,0,NA,NA,0
5,CA,2006,2006-01-01,2006-01-25,parental_involv_minors,Enjoined,NA,NA,0
6,CO,2006,2006-01-01,2006-01-25,licensed_physician,X,limit_setting,2,1
