"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate
	"Alabama"	"01"	"2007"	"2007"	64804	4672840	13.86823
	"Alabama"	"01"	"2008"	"2008"	64546	4718206	13.68020
	"Alabama"	"01"	"2009"	"2009"	62475	4757938	13.13069
	"Alabama"	"01"	"2010"	"2010"	60050	4779736	12.56346
	"Alabama"	"01"	"2011"	"2011"	59354	4802740	12.35836
	"Alabama"	"01"	"2012"	"2012"	58448	4822023	12.12105
	"Alabama"	"01"	"2013"	"2013"	58167	4833722	12.03358
	"Alabama"	"01"	"2014"	"2014"	59422	4849377	12.25353
	"Alabama"	"01"	"2015"	"2015"	59657	4858979	12.27768
	"Alabama"	"01"	"2016"	"2016"	59151	4863300	12.16273
	"Alabama"	"01"	"2017"	"2017"	58941	4874747	12.09109
	"Alabama"	"01"	"2018"	"2018"	57761	4887871	11.81721
	"Alabama"	"01"	"2019"	"2019"	58615	4903185	11.95447
	"Alabama"	"01"	"2020"	"2020"	57647	4921532	11.71322
"Total"	"Alabama"	"01"			839038	67546196	12.42169
	"Alaska"	"02"	"2007"	"2007"	11052	680300	16.24577
	"Alaska"	"02"	"2008"	"2008"	11442	687455	16.64400
	"Alaska"	"02"	"2009"	"2009"	11324	698895	16.20272
	"Alaska"	"02"	"2010"	"2010"	11471	710231	16.15108
	"Alaska"	"02"	"2011"	"2011"	11456	722718	15.85127
	"Alaska"	"02"	"2012"	"2012"	11187	731449	15.29430
	"Alaska"	"02"	"2013"	"2013"	11446	735132	15.56999
	"Alaska"	"02"	"2014"	"2014"	11392	736732	15.46288
	"Alaska"	"02"	"2015"	"2015"	11282	738432	15.27832
	"Alaska"	"02"	"2016"	"2016"	11209	741894	15.10863
	"Alaska"	"02"	"2017"	"2017"	10445	739795	14.11878
	"Alaska"	"02"	"2018"	"2018"	10086	737438	13.67708
	"Alaska"	"02"	"2019"	"2019"	9822	731545	13.42638
	"Alaska"	"02"	"2020"	"2020"	9469	731158	12.95069
"Total"	"Alaska"	"02"			153083	10123174	15.12204
	"Arizona"	"04"	"2007"	"2007"	102981	6167681	16.69688
	"Arizona"	"04"	"2008"	"2008"	99442	6280362	15.83380
	"Arizona"	"04"	"2009"	"2009"	92798	6343154	14.62963
	"Arizona"	"04"	"2010"	"2010"	87477	6392017	13.68535
	"Arizona"	"04"	"2011"	"2011"	85543	6482505	13.19598
	"Arizona"	"04"	"2012"	"2012"	86441	6553255	13.19054
	"Arizona"	"04"	"2013"	"2013"	85600	6626624	12.91759
	"Arizona"	"04"	"2014"	"2014"	86887	6731484	12.90756
	"Arizona"	"04"	"2015"	"2015"	85351	6828065	12.50003
	"Arizona"	"04"	"2016"	"2016"	84520	6931071	12.19436
	"Arizona"	"04"	"2017"	"2017"	81872	7016270	11.66888
	"Arizona"	"04"	"2018"	"2018"	80723	7171646	11.25585
	"Arizona"	"04"	"2019"	"2019"	79375	7278717	10.90508
	"Arizona"	"04"	"2020"	"2020"	76947	7421401	10.36826
"Total"	"Arizona"	"04"			1215957	94224252	12.90493
	"Arkansas"	"05"	"2007"	"2007"	41378	2848650	14.52548
	"Arkansas"	"05"	"2008"	"2008"	40669	2874554	14.14793
	"Arkansas"	"05"	"2009"	"2009"	39808	2896843	13.74186
	"Arkansas"	"05"	"2010"	"2010"	38540	2915918	13.21711
	"Arkansas"	"05"	"2011"	"2011"	38715	2937979	13.17743
	"Arkansas"	"05"	"2012"	"2012"	38347	2949131	13.00281
	"Arkansas"	"05"	"2013"	"2013"	37832	2959373	12.78379
	"Arkansas"	"05"	"2014"	"2014"	38511	2966369	12.98254
	"Arkansas"	"05"	"2015"	"2015"	38886	2978204	13.05686
	"Arkansas"	"05"	"2016"	"2016"	38274	2988248	12.80817
	"Arkansas"	"05"	"2017"	"2017"	37520	3004279	12.48885
	"Arkansas"	"05"	"2018"	"2018"	37018	3013825	12.28273
	"Arkansas"	"05"	"2019"	"2019"	36564	3017804	12.11610
	"Arkansas"	"05"	"2020"	"2020"	35251	3030522	11.63199
"Total"	"Arkansas"	"05"			537313	41381699	12.98431
	"California"	"06"	"2007"	"2007"	566414	36250311	15.62508
	"California"	"06"	"2008"	"2008"	551779	36604337	15.07414
	"California"	"06"	"2009"	"2009"	527020	36961229	14.25873
	"California"	"06"	"2010"	"2010"	510198	37253956	13.69514
	"California"	"06"	"2011"	"2011"	502120	37691912	13.32169
	"California"	"06"	"2012"	"2012"	503755	38041430	13.24227
	"California"	"06"	"2013"	"2013"	494705	38332521	12.90562
	"California"	"06"	"2014"	"2014"	502879	38802500	12.95996
	"California"	"06"	"2015"	"2015"	491748	39144818	12.56228
	"California"	"06"	"2016"	"2016"	488827	39250017	12.45419
	"California"	"06"	"2017"	"2017"	471658	39536653	11.92964
	"California"	"06"	"2018"	"2018"	454920	39557045	11.50035
	"California"	"06"	"2019"	"2019"	446479	39512223	11.29977
	"California"	"06"	"2020"	"2020"	420259	39368078	10.67512
"Total"	"California"	"06"			6932761	536307030	12.92685
	"Colorado"	"08"	"2007"	"2007"	70809	4803868	14.74000
	"Colorado"	"08"	"2008"	"2008"	70031	4889730	14.32206
	"Colorado"	"08"	"2009"	"2009"	68628	4972195	13.80235
	"Colorado"	"08"	"2010"	"2010"	66355	5029196	13.19396
	"Colorado"	"08"	"2011"	"2011"	65055	5116796	12.71401
	"Colorado"	"08"	"2012"	"2012"	65187	5187582	12.56597
	"Colorado"	"08"	"2013"	"2013"	65007	5268367	12.33912
	"Colorado"	"08"	"2014"	"2014"	65830	5355866	12.29120
	"Colorado"	"08"	"2015"	"2015"	66581	5456574	12.20198
	"Colorado"	"08"	"2016"	"2016"	66613	5540545	12.02282
	"Colorado"	"08"	"2017"	"2017"	64382	5607154	11.48212
	"Colorado"	"08"	"2018"	"2018"	62885	5695564	11.04105
	"Colorado"	"08"	"2019"	"2019"	62869	5758736	10.91715
