"","state","x0_13","x14_15","x16_17","x18_20","x21","total_reported","year"
"1","Alabama",10266,487,270,214,11,11248,2007
"2","Alaska",1686,NA,NA,0,10,1700,2007
"3","Arizona",9990,256,171,185,103,10705,2007
"4","Arkansas",4266,202,NA,203,NA,4844,2007
"5","Colorado",10581,338,224,90,104,11337,2007
"6","Delaware",3267,99,65,42,33,3506,2007
"7","District of Columbia",1969,231,0,152,0,2352,2007
"8","Georgia",27368,1125,736,825,984,31038,2007
"9","Hawaii",3332,96,105,151,31,3715,2007
"10","Idaho",1415,7,NA,10,NA,1438,2007
"11","Indiana",10230,96,79,27,0,10432,2007
"12","Iowa",6253,186,119,57,6,6621,2007
"13","Kansas",9522,412,276,253,343,10806,2007
"14","Kentucky",3783,187,140,147,70,4327,2007
"15","Louisiana",5892,366,196,160,134,6748,2007
"16","Maine",2657,11,5,8,7,2688,2007
"17","Michigan",22962,965,357,260,100,24644,2007
"18","Minnesota",12614,408,320,434,67,13843,2007
"19","Mississippi",2451,39,12,0,0,2502,2007
"20","Missouri",6754,212,150,132,37,7285,2007
"21","Montana",2058,61,NA,59,NA,2231,2007
"22","Nevada",8719,335,183,151,63,9451,2007
"23","New Jersey",22116,1492,1119,1091,850,26668,2007
"24","New Mexico",5389,239,163,135,48,5974,2007
"25","New York",109830,4336,2916,3270,2850,123202,2007
"26","New York City",79541,2925,2226,2613,2258,89563,2007
"27","New York State",30289,1411,690,657,592,33639,2007
"28","North Carolina",27688,1374,720,NA,NA,30185,2007
"29","North Dakota",1184,49,NA,0,NA,1235,2007
"30","Ohio",27019,1364,819,675,502,30379,2007
"31","Oklahoma",6076,295,185,69,15,6640,2007
"32","Oregon",10579,321,267,300,227,11694,2007
"33","Pennsylvania",33553,1394,777,672,267,36663,2007
"34","South Carolina",7520,NA,NA,5,7,7535,2007
"35","South Dakota",699,0,NA,NA,NA,707,2007
"36","Tennessee",17463,351,67,15,26,17922,2007
"37","Texas",76401,2922,358,729,468,80878,2007
"38","Utah",3564,124,87,99,6,3880,2007
"39","Vermont",1520,40,6,7,7,1580,2007
"40","Virginia",27418,201,57,136,27,27839,2007
"41","Washington",22415,707,582,639,429,24772,2007
"42","West Virginia",1665,60,47,20,7,1799,2007
"43","Wyoming",NA,NA,0,0,0,9,2007
"44","Total",570139,21388,11805,11826,7855,623022,2007
"45","Alabama",10162,517,302,264,10,11255,2008
"46","Alaska",1735,NA,NA,0,14,1750,2008
"47","Arizona",9660,252,163,174,80,10329,2008
"48","Arkansas",4147,207,186,247,0,4787,2008
"49","Colorado",10694,391,228,120,98,11531,2008
"50","Delaware",4221,132,80,73,48,4554,2008
"51","Georgia",31378,1389,915,998,1208,35888,2008
"52","Hawaii",2911,99,91,115,22,3238,2008
"53","Idaho",1466,NA,NA,6,NA,1480,2008
"54","Indiana",10694,76,71,31,0,10872,2008
"55","Iowa",6140,152,120,49,6,6467,2008
"56","Kansas",9159,440,305,317,383,10604,2008
"57","Kentucky",3727,211,128,135,56,4257,2008
"58","Louisiana",5950,358,185,135,127,6755,2008
"59","Maine",2580,25,NA,9,NA,2623,2008
"60","Michigan",23501,1105,564,486,240,25896,2008
"61","Minnesota",11860,356,259,409,64,12948,2008
"62","Mississippi",2353,46,11,NA,NA,2415,2008
"63","Missouri",6741,285,181,157,34,7398,2008
"64","Montana",1971,67,33,40,10,2121,2008
"65","New Jersey",24134,1459,1168,872,831,28464,2008
"66","New Mexico",4798,189,140,115,29,5271,2008
"67","New York",106796,4191,2857,3067,2708,119619,2008
"68","New York City",78743,2812,2216,2489,2102,88362,2008
"69","New York State",28053,1379,641,578,606,31257,2008
"70","North Carolina",27370,1365,747,NA,NA,29930,2008
"71","North Dakota",1346,39,NA,0,NA,1386,2008
"72","Ohio",26108,1338,834,608,480,29368,2008
"73","Oklahoma",5975,293,165,36,9,6478,2008
"74","Oregon",9530,290,226,217,168,10431,2008
"75","Pennsylvania",35056,1579,963,860,349,38807,2008
"76","Rhode Island",4166,135,88,70,7,4466,2008
"77","South Carolina",7159,NA,NA,7,8,7179,2008
"78","South Dakota",832,NA,NA,NA,8,848,2008
"79","Tennessee",17558,356,48,8,8,17978,2008
"80","Texas",76926,2792,352,745,551,81366,2008
"81","Utah",3519,138,NA,115,NA,3868,2008
"82","Vermont",1429,46,NA,8,NA,1492,2008
"83","Virginia",28111,264,65,120,29,28589,2008
"84","Washington",22017,697,541,583,416,24254,2008
