state,year,as_of,accessed,policy,level,score
AL,2006,2006-01-01,2006-01-25,licensed_physician,X,1
AL,2006,2006-01-01,2006-01-25,hospital_if,Viability,0.5
AL,2006,2006-01-01,2006-01-25,second_physician_if,Viability,0.6666666666666666
AL,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,0.6666666666666666
AL,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,0
AL,2006,2006-01-01,2006-01-25,fund_all_most,0,0
AL,2006,2006-01-01,2006-01-25,fund_life_rape_incest,X,0.5
AL,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,0
AL,2006,2006-01-01,2006-01-25,indiv_prov_refuse,0,0
AL,2006,2006-01-01,2006-01-25,instit_prov_refuse,0,0
AL,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,0
AL,2006,2006-01-01,2006-01-25,mandate_fetal_pain,0,0
AL,2006,2006-01-01,2006-01-25,mandate_neg_psych,0,0
AL,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,24,0.6666666666666666
AL,2006,2006-01-01,2006-01-25,parental_involv_minors,Consent,0.6666666666666666
AZ,2006,2006-01-01,2006-01-25,licensed_physician,X,1
AZ,2006,2006-01-01,2006-01-25,hospital_if,0,0
AZ,2006,2006-01-01,2006-01-25,second_physician_if,Viability,0.6666666666666666
AZ,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,0.6666666666666666
AZ,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,0
AZ,2006,2006-01-01,2006-01-25,fund_all_most,X,-1
AZ,2006,2006-01-01,2006-01-25,fund_life_rape_incest,0,0
AZ,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,0
AZ,2006,2006-01-01,2006-01-25,indiv_prov_refuse,X,1
AZ,2006,2006-01-01,2006-01-25,instit_prov_refuse,X,1
AZ,2006,2006-01-01,2006-01-25,mandate_breast_cancer,0,0
AZ,2006,2006-01-01,2006-01-25,mandate_fetal_pain,0,0
AZ,2006,2006-01-01,2006-01-25,mandate_neg_psych,0,0
AZ,2006,2006-01-01,2006-01-25,hr_wait_post_counseling,0,0
AZ,2006,2006-01-01,2006-01-25,parental_involv_minors,Consent,0.6666666666666666
AR,2006,2006-01-01,2006-01-25,licensed_physician,X,1
AR,2006,2006-01-01,2006-01-25,hospital_if,0,0
AR,2006,2006-01-01,2006-01-25,second_physician_if,Viability,0.6666666666666666
AR,2006,2006-01-01,2006-01-25,prohibited_except_death_if,Viability,0.6666666666666666
AR,2006,2006-01-01,2006-01-25,partial_birth_ban,Enjoined,0
AR,2006,2006-01-01,2006-01-25,fund_all_most,0,0
AR,2006,2006-01-01,2006-01-25,fund_life_rape_incest,X,0.5
AR,2006,2006-01-01,2006-01-25,priv_insurance_limit,0,0
AR,2006,2006-01-01,2006-01-25,indiv_prov_refuse,X,1
